observation,state,year,dmargin,demwin,dwinnext,bin
165,4,2006,4.1,1,1,28
166,4,1994,-13.12758923,0,0,19
167,4,1996,-0.96910536,0,0,25
168,4,1998,-9.372970462,0,0,21
169,4,2000,-26.56,0,0,12
170,4,2004,29.66,1,1,40
171,4,2006,26.68,1,1,39
172,4,2004,-25.02,0,1,13
173,4,2006,12.62,1,1,32
174,3,1968,37.75101602,1,1,44
175,3,1976,37.71255016,1,1,44
176,3,1986,28.43934298,1,1,40
177,3,1990,28.61071825,1,1,40
178,3,1994,6.805205345,1,1,29
179,3,1996,8.445224166,1,1,30
180,3,2000,20.44,1,1,36
181,3,2004,33.14,1,1,42
182,3,2006,38.52,1,1,45
183,3,1974,17.79306829,1,1,34
184,3,1978,-2.468121052,0,0,24
185,3,1984,5.625367165,1,1,28
186,3,1990,20.82971036,1,1,36
187,3,1994,14.7642225,1,1,33
188,3,1996,4.691669345,1,1,28
189,3,1998,15.94547927,1,1,33
190,3,2000,15.08,1,1,33
191,3,2004,16.34,1,1,34
192,3,2006,21.06,1,1,36
193,3,1948,37.28233576,1,1,44
194,3,1956,22.70633876,1,1,37
195,3,1964,9.487211704,1,0,30
196,3,1968,-34.24726725,0,0,8
197,3,1970,-33.40030611,0,0,9
198,3,1974,-3.651785851,0,0,24
199,3,1988,-49.38120842,0,0,1
200,3,1990,-41.0033673,0,0,5
201,3,1994,-35.43193638,0,0,8
202,3,1996,-13.85394633,0,0,19
203,3,2004,-21.78,0,0,15
204,3,2006,-24.46,0,0,13
205,3,1988,38.38838339,1,1,45
206,3,1990,44.74861324,1,0,48
207,3,1994,-3.612315655,0,0,24
208,3,1996,-27.00569928,0,0,12
209,3,1998,-15.04422426,0,1,18
210,3,2000,1.94,1,1,26
211,3,2006,49.46,1,1,50
212,3,1958,-2.085614204,0,1,24
213,5,1950,-7.950234413,0,0,22
214,5,1954,-18.16937923,0,0,16
215,5,1956,-7.121303678,0,1,22
216,5,1958,9.837925434,1,1,30
217,5,1960,3.264772892,1,1,27
218,5,1964,-18.17035377,0,0,16
219,5,1966,-30.23940325,0,0,10
220,5,1970,-26.70042217,0,0,12
221,5,1976,47.89416492,1,1,49
222,5,1978,18.70481968,1,0,35
223,5,1980,-13.86774778,0,1,19
224,5,1986,40.89588523,1,1,46
225,5,1988,34.47751999,1,0,43
226,5,1990,-1.439234614,0,1,25
227,5,1994,-6.557253003,0,0,22
228,5,1996,-6.177318096,0,1,22
229,5,1998,28.97335291,1,1,40
230,5,2000,39.82,1,1,45
231,5,2004,40.62,1,1,46
232,5,2006,39.12,1,1,45
233,5,1958,21.90622091,1,1,36
234,5,1960,25.38695335,1,1,38
235,5,1964,29.25815582,1,1,40
236,5,1966,41.85658991,1,1,46
237,5,1976,-14.98917043,0,0,18
238,5,1978,-6.691637635,0,0,22
239,5,1980,-12.19417751,0,0,19
240,5,1986,-18.65891218,0,0,16
241,5,1988,-20.27577758,0,0,15
242,5,1990,-32.46498406,0,0,9
243,5,1994,-38.12017143,0,0,6
244,5,1996,-27.06880569,0,0,12
245,5,1998,-28.0184269,0,0,11
246,5,2000,-40,0,0,6
247,5,2004,-33.7,0,0,9
248,5,2006,-32.82,0,0,9
249,5,1954,30.62592745,1,1,41
250,5,1956,37.16921508,1,1,44
251,5,1964,48.61758947,1,1,50
252,5,1966,34.92371738,1,1,43
253,5,1970,24.98414814,1,1,38
254,5,1976,45.71392536,1,1,48
255,5,1978,6.871286035,1,1,29
256,5,1980,44.01422143,1,1,48
257,5,1988,42.35391617,1,1,47
258,5,1990,25.55822134,1,1,38
259,5,1994,3.652954102,1,1,27
260,5,1996,12.41515875,1,0,32
261,5,1998,-7.369560003,0,0,22
262,5,2000,-16.28,0,0,17
263,5,2004,-27.98,0,0,12
264,5,2006,-22.24,0,0,14
265,5,1944,0.1463093,1,1,26
266,5,1946,5.700194836,1,1,28
267,5,1948,3.341218829,1,1,27
268,5,1950,34.37932432,1,0,43
269,5,1954,-24.55507517,0,0,13
270,5,1956,-23.85208607,0,0,14
271,5,1958,-19.94013786,0,0,16
272,5,1960,-30.61641455,0,1,10
273,5,1964,43.84847879,1,1,47
274,5,1966,18.90548468,1,1,35
275,5,1970,35.92481613,1,1,43
276,5,1976,0.400939584,1,1,26
277,5,1978,10.74531376,1,1,31
278,5,1980,35.5602175,1,1,43
279,5,1986,40.31919539,1,1,46
280,5,1990,15.37247896,1,0,33
281,5,1994,-26.41765773,0,0,12
282,5,1996,-24.36282635,0,0,13
283,5,1998,-28.16488445,0,0,11
284,5,2000,-33.68,0,0,9
285,5,2004,-30.78,0,0,10
286,5,2006,-3.36,0,0,24
287,5,1966,42.51898825,1,1,47
288,5,1970,41.61110222,1,1,46
289,5,1976,23.68825674,1,1,37
290,5,1978,33.68631601,1,1,42
291,5,1980,5.803734064,1,1,28
292,5,1994,39.50634003,1,1,45
293,5,1996,44.29418147,1,1,48
294,5,1998,45.88706493,1,1,48
295,5,2000,44.88,1,1,48
296,5,1954,-1.801395416,0,0,25
297,5,1956,-7.469725609,0,0,22
298,5,1958,-1.911902428,0,0,25
299,5,1960,-17.44940281,0,0,17
300,5,1964,-27.29276717,0,0,12
301,5,1970,-6.719145179,0,0,22
302,5,1976,39.05863166,1,1,45
303,5,1978,40.31627476,1,1,46
304,5,1980,43.7430352,1,1,47
305,5,1986,47.70810902,1,1,49
306,5,1988,46.70354128,1,1,49
307,5,1990,36.14333868,1,1,44
308,5,1994,20.5632478,1,1,36
309,5,1996,27.84475088,1,1,39
310,5,1998,38.26535046,1,1,45
311,5,2000,38.86,1,1,45
312,5,2004,45.3,1,1,48
313,5,2006,45.78,1,1,48
314,5,1946,-12.34748363,0,0,19
315,5,1948,-2.758115,0,0,24
316,5,1950,-10.51363051,0,0,20
317,5,1954,-6.018695235,0,0,22
318,5,1956,-5.561542511,0,1,23
319,5,1958,1.883399487,1,1,26
320,5,1960,14.09529448,1,1,33
321,5,1964,32.26326704,1,1,42
322,5,1966,28.82722914,1,1,40
323,5,1970,16.02045298,1,1,34
324,5,1978,29.70178723,1,1,40
325,5,1980,31.88191056,1,1,41
326,5,1986,33.1246376,1,1,42
327,5,1988,36.83456182,1,1,44
328,5,1990,21.01283967,1,1,36
329,5,1994,42.26085246,1,1,47
330,5,1996,49.5225668,1,1,50
331,5,1954,30.79166412,1,1,41
332,5,1956,31.19662106,1,1,41
333,5,1960,24.02523458,1,1,38
334,5,1964,40.50014913,1,1,46
335,5,1966,30.87878525,1,1,41
336,5,1970,37.99302578,1,1,44
337,5,1976,27.39325464,1,1,39
338,5,1978,14.72611427,1,1,33
339,5,1980,16.27222896,1,1,34
340,5,1986,22.14502096,1,1,37
341,5,1988,35.3553921,1,1,43
342,5,1990,22.59399891,1,1,37
343,5,1946,-7.415294647,0,1,22
344,5,1948,4.411745071,1,0,28
345,5,1950,-3.976309299,0,0,24
346,5,1954,-9.013453126,0,0,21
347,5,1956,-20.56638002,0,0,15
348,5,1958,-17.58416891,0,0,17
349,5,1960,-18.47512424,0,1,16
350,5,1964,39.52290714,1,1,45
351,5,1966,26.30001009,1,1,39
352,5,1970,40.60055315,1,1,46
353,5,1976,43.67088079,1,1,47
354,5,1978,34.87644792,1,1,43
355,5,1980,14.20546174,1,1,33
356,5,1986,39.43116665,1,1,45
357,5,1988,45.91880739,1,1,48
358,5,1990,16.852808,1,1,34
359,5,1994,49.63521957,1,1,50
360,5,1950,-7.138597965,0,0,22
361,5,1954,-22.41331339,0,0,14
362,5,1956,-21.32230997,0,0,15
363,5,1958,-9.108540416,0,0,21
364,5,1960,-17.86071956,0,0,17
365,5,1964,-26.24139786,0,0,12
366,5,1966,-38.1952852,0,0,6
367,5,1970,-25.26147664,0,0,13
368,5,1976,47.54411578,1,1,49
369,5,1978,34.25498009,1,1,43
370,5,1980,34.1819495,1,1,43
371,5,1986,43.83761287,1,1,47
372,5,1990,25.35881996,1,0,38
373,5,1994,-20.65949142,0,1,15
374,5,1996,1.445356011,1,1,26
375,5,1998,10.0227505,1,1,31
376,5,2000,8.66,1,1,30
377,5,2004,31.42,1,1,41
378,5,2006,32.9,1,1,42
379,5,1946,-6.218156219,0,0,22
380,5,1950,-4.146340489,0,0,23
381,5,1954,-5.117961764,0,1,23
382,5,1956,6.148275733,1,1,29
383,5,1958,38.68896067,1,1,45
384,5,1960,30.83491623,1,0,41
385,5,1964,-9.574112296,0,0,21
386,5,1966,-18.85887086,0,0,16
387,5,1976,25.6438911,1,1,38
388,5,1978,24.93157983,1,1,38
389,5,1980,3.093311191,1,1,27
390,5,1986,48.16572666,1,1,50
391,5,1988,46.54954076,1,1,49
392,5,1990,37.15432882,1,0,44
393,5,1994,-27.22414732,0,0,12
394,5,1996,-23.15954268,0,0,14
395,5,1998,-25.18575191,0,0,13
396,5,2000,-20.54,0,0,15
397,5,2004,-22.46,0,1,14
398,5,2006,6.54,1,1,29
399,5,1946,-13.32012117,0,0,19
400,5,1950,-20.18261254,0,0,15
401,5,1954,7.581600547,1,1,29
402,5,1956,45.99257708,1,1,48
403,5,1964,-23.85620773,0,0,14
404,5,1970,-29.70373929,0,0,11
405,5,1976,-34.95227098,0,0,8
406,5,1986,-22.28792608,0,0,14
407,5,1988,-5.630657077,0,0,23
408,5,1990,-27.16944218,0,1,12
409,5,1994,34.8334074,1,1,43
410,5,1996,47.98901081,1,1,49
411,5,1946,-3.620275855,0,0,24
412,5,1954,-4.922279716,0,0,23
413,5,1956,-19.15612519,0,0,16
414,5,1958,-14.03782368,0,0,18
415,5,1960,-30.03307283,0,0,10
416,5,1964,-14.78354037,0,0,18
417,5,1966,-34.96047556,0,0,8
418,5,1970,-17.38761663,0,0,17
419,5,1976,35.61553657,1,1,43
420,5,1978,17.96465814,1,1,34
421,5,1980,23.36504459,1,1,37
422,5,1986,39.45742846,1,1,45
423,5,1988,37.30200231,1,1,44
424,5,1990,22.37631679,1,1,37
425,5,1994,34.37885642,1,1,43
426,5,1996,34.76321399,1,1,43
427,5,1998,44.55657899,1,1,48
428,5,2000,48.7,1,1,50
429,5,2004,49.82,1,1,50
430,5,2006,49.78,1,1,50
431,5,1946,8.75774622,1,1,30
432,5,1948,32.80183375,1,1,42
433,5,1950,12.54142523,1,1,32
434,5,1954,30.24665415,1,1,41
435,5,1956,25.97319186,1,1,38
436,5,1960,12.93517649,1,0,32
437,5,1964,-29.76801097,0,1,11
438,5,1966,12.87484467,1,1,32
439,5,1970,49.09856617,1,1,50
440,5,1976,45.07616758,1,0,48
441,5,1978,-10.77189445,0,0,20
